127.0.0.1 - - [01/Apr/2019:17:11:04 +0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [01/Apr/2019:17:11:20 +0200] "GET /Magellan/javax.faces.resource/components.css.xhtml;jsessionid=E1283D52F0323F3D928A46236358DA91?ln=primefaces&v=7.0 HTTP/1.1" 200 93229
0:0:0:0:0:0:0:1 - - [01/Apr/2019:17:11:20 +0200] "GET /Magellan/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=E1283D52F0323F3D928A46236358DA91?ln=primefaces&v=7.0 HTTP/1.1" 200 267442
0:0:0:0:0:0:0:1 - - [01/Apr/2019:17:11:20 +0200] "GET /Magellan/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=E1283D52F0323F3D928A46236358DA91?ln=primefaces&v=7.0 HTTP/1.1" 200 87020
0:0:0:0:0:0:0:1 - - [01/Apr/2019:17:11:20 +0200] "GET /Magellan/javax.faces.resource/imageswitch/imageswitch.js.xhtml;jsessionid=E1283D52F0323F3D928A46236358DA91?ln=primefaces&v=7.0 HTTP/1.1" 200 25911
0:0:0:0:0:0:0:1 - - [01/Apr/2019:17:11:20 +0200] "GET /Magellan/javax.faces.resource/core.js.xhtml;jsessionid=E1283D52F0323F3D928A46236358DA91?ln=primefaces&v=7.0 HTTP/1.1" 200 37704
0:0:0:0:0:0:0:1 - - [01/Apr/2019:17:11:20 +0200] "GET /Magellan/javax.faces.resource/components.js.xhtml;jsessionid=E1283D52F0323F3D928A46236358DA91?ln=primefaces&v=7.0 HTTP/1.1" 200 422192
0:0:0:0:0:0:0:1 - - [01/Apr/2019:17:11:20 +0200] "GET /Magellan/javax.faces.resource/logos/logo1.jpg.xhtml;jsessionid=E1283D52F0323F3D928A46236358DA91 HTTP/1.1" 200 294767
0:0:0:0:0:0:0:1 - - [01/Apr/2019:17:11:20 +0200] "GET /Magellan/javax.faces.resource/logos/logo2.jpg.xhtml;jsessionid=E1283D52F0323F3D928A46236358DA91 HTTP/1.1" 200 28126
0:0:0:0:0:0:0:1 - - [01/Apr/2019:17:11:20 +0200] "GET /Magellan/javax.faces.resource/logos/logo3.jpg.xhtml;jsessionid=E1283D52F0323F3D928A46236358DA91 HTTP/1.1" 200 49926
0:0:0:0:0:0:0:1 - - [01/Apr/2019:17:11:20 +0200] "GET /Magellan/javax.faces.resource/voyage/voyage1.jpg.xhtml;jsessionid=E1283D52F0323F3D928A46236358DA91 HTTP/1.1" 200 75983
0:0:0:0:0:0:0:1 - - [01/Apr/2019:17:11:20 +0200] "GET /Magellan/javax.faces.resource/voyage/voyage2.jpg.xhtml;jsessionid=E1283D52F0323F3D928A46236358DA91 HTTP/1.1" 200 63761
0:0:0:0:0:0:0:1 - - [01/Apr/2019:17:11:20 +0200] "GET /Magellan/javax.faces.resource/voyage/voyage3.jpg.xhtml;jsessionid=E1283D52F0323F3D928A46236358DA91 HTTP/1.1" 200 122434
0:0:0:0:0:0:0:1 - - [01/Apr/2019:17:11:20 +0200] "GET /Magellan/javax.faces.resource/voyage/voyage4.jpg.xhtml;jsessionid=E1283D52F0323F3D928A46236358DA91 HTTP/1.1" 200 114817
0:0:0:0:0:0:0:1 - - [01/Apr/2019:17:11:20 +0200] "GET /Magellan/javax.faces.resource/voyage/voyage6.jpg.xhtml;jsessionid=E1283D52F0323F3D928A46236358DA91 HTTP/1.1" 200 80668
0:0:0:0:0:0:0:1 - - [01/Apr/2019:17:11:20 +0200] "GET /Magellan/javax.faces.resource/voyage/voyage5.jpg.xhtml;jsessionid=E1283D52F0323F3D928A46236358DA91 HTTP/1.1" 200 114555
0:0:0:0:0:0:0:1 - - [01/Apr/2019:17:11:20 +0200] "GET /Magellan/javax.faces.resource/voyage/voyage7.jpg.xhtml;jsessionid=E1283D52F0323F3D928A46236358DA91 HTTP/1.1" 200 144868
0:0:0:0:0:0:0:1 - - [01/Apr/2019:17:11:20 +0200] "GET /Magellan/javax.faces.resource/voyage/voyage8.jpg.xhtml;jsessionid=E1283D52F0323F3D928A46236358DA91 HTTP/1.1" 200 93773
0:0:0:0:0:0:0:1 - - [01/Apr/2019:17:11:20 +0200] "GET /Magellan/javax.faces.resource/voyage/voyage10.jpg.xhtml;jsessionid=E1283D52F0323F3D928A46236358DA91 HTTP/1.1" 200 84811
0:0:0:0:0:0:0:1 - - [01/Apr/2019:17:11:20 +0200] "GET /Magellan/javax.faces.resource/voyage/voyage9.jpg.xhtml;jsessionid=E1283D52F0323F3D928A46236358DA91 HTTP/1.1" 200 466176
0:0:0:0:0:0:0:1 - - [01/Apr/2019:17:11:20 +0200] "GET /Magellan/javax.faces.resource/voyage/voyage12.jpg.xhtml;jsessionid=E1283D52F0323F3D928A46236358DA91 HTTP/1.1" 200 144266
0:0:0:0:0:0:0:1 - - [01/Apr/2019:17:11:20 +0200] "GET /Magellan/javax.faces.resource/voyage/voyage11.jpg.xhtml;jsessionid=E1283D52F0323F3D928A46236358DA91 HTTP/1.1" 200 103702
0:0:0:0:0:0:0:1 - - [01/Apr/2019:17:11:20 +0200] "GET /Magellan/resources/autre/beach2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2019:17:11:20 +0200] "GET /favicon.ico HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [01/Apr/2019:17:11:26 +0200] "GET /Magellan/reservation.xhtml HTTP/1.1" 200 20957
0:0:0:0:0:0:0:1 - - [01/Apr/2019:17:11:26 +0200] "GET /Magellan/resources/autre/voyage.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2019:17:11:29 +0200] "GET /Magellan/qui.xhtml HTTP/1.1" 200 7552
